2026-08-22 20:45:12.977 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:45:13.031 | DEBUG    | cli              | elims_instruments.database.crud:add:113 - add
2026-08-22 20:45:13.046 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:45:13.048 | DEBUG    | cli              | elims_instruments.database.crud:fetch:106 - fetch
2026-08-22 20:45:13.054 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:45:13.055 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:100 - fetchall
2026-08-22 20:45:13.061 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:45:13.075 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:45:13.076 | DEBUG    | cli              | elims_instruments.database.crud:remove:130 - remove
2026-08-22 20:45:13.147 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_export_and_sync_yaml0\database.toml
2026-08-22 20:45:13.192 | DEBUG    | cli              | elims_instruments.database.crud:add:113 - add
2026-08-22 20:45:13.205 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_export_and_sync_yaml0\database.toml
2026-08-22 20:45:13.206 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:100 - fetchall
2026-08-22 20:45:13.215 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_export_and_sync_yaml0\database.toml
2026-08-22 20:45:13.239 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:45:13.283 | DEBUG    | cli              | elims_instruments.database.crud:add:113 - add
2026-08-22 20:45:13.296 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:45:13.297 | DEBUG    | cli              | elims_instruments.database.crud:fetch:106 - fetch
2026-08-22 20:45:13.303 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:45:13.303 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:100 - fetchall
2026-08-22 20:45:13.308 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger\test_cli_crud_lifecycle1\database.toml
