2026-08-22 20:46:34.648 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:46:34.698 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:46:34.711 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:46:34.712 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 20:46:34.718 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:46:34.719 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 20:46:34.724 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:46:34.737 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:46:34.737 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 20:46:34.803 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_export_and_sync_yaml0\database.toml
2026-08-22 20:46:34.845 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:46:34.857 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_export_and_sync_yaml0\database.toml
2026-08-22 20:46:34.858 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 20:46:34.866 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_export_and_sync_yaml0\database.toml
2026-08-22 20:46:34.886 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.928 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:46:34.940 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.941 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 20:46:34.945 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.946 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 20:46:34.950 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.961 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.962 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 20:46:34.972 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_cli_crud_lifecycle1\database.toml
2026-08-22 20:46:34.972 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 20:46:34.990 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_add_rejects_duplicate_ass0\database.toml
2026-08-22 20:46:35.032 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:46:35.042 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-cli-logger-final\test_add_rejects_duplicate_ass0\database.toml
