2026-08-22 20:48:24.518 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:48:24.572 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:48:24.587 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:48:24.588 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 20:48:24.594 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:48:24.595 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 20:48:24.601 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:48:24.614 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_cli_crud_lifecycle0\database.toml
2026-08-22 20:48:24.615 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 20:48:24.686 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_export_and_sync_yaml0\database.toml
2026-08-22 20:48:24.729 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 20:48:24.744 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_export_and_sync_yaml0\database.toml
2026-08-22 20:48:24.745 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 20:48:24.754 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-examples-final\test_export_and_sync_yaml0\database.toml
