2026-08-22 21:32:03.502 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:32:03.554 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:32:03.568 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:32:03.569 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:32:03.574 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:32:03.575 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:32:03.581 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:32:03.593 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:32:03.594 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 21:32:03.695 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:32:03.737 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:32:03.749 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:32:03.750 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:32:03.758 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:32:03.777 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:32:03.820 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:32:03.838 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:32:03.839 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:32:03.843 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:32:03.844 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:32:03.848 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:32:03.858 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-combined-config\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:32:03.859 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
