2026-08-22 21:34:29.340 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:34:29.393 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.408 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:34:29.409 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:34:29.415 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:34:29.416 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:34:29.422 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:34:29.435 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:34:29.436 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 21:34:29.512 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:34:29.558 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.571 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:34:29.572 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:34:29.581 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:34:29.602 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.645 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.657 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.658 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:34:29.662 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.663 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:34:29.668 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.679 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.680 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 21:34:29.691 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:34:29.691 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:34:29.717 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_add_rejects_duplicate_ass0\bench.toml
2026-08-22 21:34:29.762 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.773 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_add_rejects_duplicate_ass0\bench.toml
2026-08-22 21:34:29.774 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.781 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:34:29.825 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:34:29.836 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:34:29.837 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:34:29.844 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:34:29.856 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:34:29.856 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:34:30.421 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:94 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:34:30.421 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:39 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:34:30.421 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:78 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-22 21:34:30.421 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:78 - Validated bench instruments assignment counter -> CNT-001
2026-08-22 21:34:30.421 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:79 - Validated 2 bench instruments
2026-08-22 21:34:30.421 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:39 - Reading bench boards from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:34:30.421 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 2 instrument drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-temp-example-final\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument counter from asset CNT-001
2026-08-22 21:34:30.422 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
