2026-08-22 21:40:32.139 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:40:32.218 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.232 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:40:32.233 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:32.239 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:40:32.239 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:40:32.245 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:40:32.257 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle0\bench.toml
2026-08-22 21:40:32.258 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 21:40:32.325 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:40:32.398 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.410 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:40:32.411 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:40:32.419 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml0\bench.toml
2026-08-22 21:40:32.439 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.510 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.521 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.522 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:32.527 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.527 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:40:32.532 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.543 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.544 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-22 21:40:32.554 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_cli_crud_lifecycle1\bench.toml
2026-08-22 21:40:32.555 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:32.574 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_add_rejects_duplicate_ass0\bench.toml
2026-08-22 21:40:32.645 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.656 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_add_rejects_duplicate_ass0\bench.toml
2026-08-22 21:40:32.657 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.664 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:40:32.736 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-22 21:40:32.746 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:40:32.747 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:40:32.755 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:40:32.767 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_export_and_sync_yaml1\bench.toml
2026-08-22 21:40:32.767 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-22 21:40:33.703 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment counter -> CNT-001
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 2 bench instruments
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.703 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.703 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 2 instrument drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.704 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-22 21:40:33.704 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument counter from asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset CNT-001 with type counter
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.counter.factory | elims_instruments.intruments.counter.factory:create:67 - Creating Keysight53220A driver for counter asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight53220A driver for asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight53220A driver for asset CNT-001
2026-08-22 21:40:33.705 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 2 instrument drivers
2026-08-22 21:40:33.705 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 0 board drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.706 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 0 board drivers
2026-08-22 21:40:33.706 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.707 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-22 21:40:33.707 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 2 instruments, 0 boards, and 0 DUTs
2026-08-22 21:40:33.800 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
