2026-08-23 19:10:03.504 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with examples\bench.toml
2026-08-23 19:10:03.513 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:03.712 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:10:03.803 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:03.818 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:10:03.819 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:03.825 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:10:03.826 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:03.832 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:10:03.845 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:10:03.846 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:10:03.916 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:10:04.002 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.014 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:10:04.015 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:04.024 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:49 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:10:04.039 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:10:04.122 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.134 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:10:04.136 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:04.140 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:10:04.141 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
