2026-08-23 19:29:40.040 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.124 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:29:40.136 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.137 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:29:40.150 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.151 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:29:40.156 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.167 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.168 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:29:40.179 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:29:40.180 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:29:40.200 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_add_rejects_duplicate_ass0\bench.toml
2026-08-23 19:29:40.288 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:29:40.300 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_add_rejects_duplicate_ass0\bench.toml
2026-08-23 19:29:40.301 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:29:40.308 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:29:40.395 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:29:40.408 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:29:40.409 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:29:40.416 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:29:40.429 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:29:40.430 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:29:40.547 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:142 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_configuration:71 - Reading bench configuration from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench instruments assignment counter -> CNT-001
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:122 - Validated 2 bench instruments
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.547 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.547 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:109 - Creating 2 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.548 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-23 19:29:40.548 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:50 - Selecting driver for asset DMM-001 with type multimeter
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:70 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:65 - Created Keysight34401A driver for asset DMM-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Resolving bench instrument counter from asset CNT-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:50 - Selecting driver for asset CNT-001 with type counter
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.counter.factory | elims_instruments.intruments.counter.factory:create:70 - Creating Keysight53220A driver for counter asset CNT-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight53220A driver for asset CNT-001
2026-08-23 19:29:40.549 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:65 - Created Keysight53220A driver for asset CNT-001
2026-08-23 19:29:40.549 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:130 - Created 2 instrument drivers
2026-08-23 19:29:40.549 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:87 - Creating 0 board drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.549 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:93 - Created 0 board drivers
2026-08-23 19:29:40.549 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:87 - Creating 0 DUTs using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:29:40.549 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:93 - Created 0 DUTs
2026-08-23 19:29:40.549 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:165 - Loaded bench with 2 instruments, 0 boards, and 0 DUTs
2026-08-23 19:29:40.661 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:142 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:29:40.661 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_configuration:71 - Reading bench configuration from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:29:40.662 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:29:40.662 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:29:40.662 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:122 - Validated 1 bench instruments
2026-08-23 19:29:40.662 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:29:40.662 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench boards assignment characterization_board -> BRD-001
