2026-08-23 19:30:45.594 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with examples\bench.toml
2026-08-23 19:30:45.604 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:30:45.723 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:30:45.817 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:30:45.832 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:30:45.834 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:30:45.840 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:30:45.841 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:30:45.847 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:30:45.859 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:30:45.860 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:30:45.933 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:30:46.018 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:30:46.031 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:30:46.032 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:30:46.042 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:30:46.058 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:30:46.142 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:30:46.155 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:30:46.156 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:30:46.161 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:30:46.162 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:30:46.167 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:30:46.179 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:30:46.180 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:30:46.192 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:30:46.280 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:30:46.291 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:30:46.292 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:30:46.299 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:49 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:30:46.328 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:30:46.411 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:30:46.423 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:30:46.424 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:30:46.429 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:54 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
